OTU	kingdom	phylum	class	order	family	genus	species	n	score	SH_species	SH_gb_acc	SH_sh_acc	SH_type	identity	coverage	trophicMode	guild	confidenceRanking	growthForm	trait	notes	citationSource	unite_db_version	date_assigned
ITSall_OTUa_2773	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Mrakiaceae	Udeniomyces	Udeniomyces_pyricola	1	1	Udeniomyces_pyricola	AF444402	SH1560792.08FU	refs	0.995744680851064	1	NA	NA	NA	NA	NA	NA	NA	sh_general_release_dynamic_s_10.05.2021	Thu Jul  8 14:28:58 2021
ITSall_OTUa_2922	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_fam_Incertae_sedis	Acremonium	Acremonium_hyalinulum	1	1	Acremonium_hyalinulum	KP131521	SH1519342.08FU	refs	1	1	Pathotroph	Animal Pathogen	Probable	Microfungus	NULL	Likely opportunistic human pathogen (Irinyi et al. 2015)	Irinyi L, et al. 2015. Medical Mycology 53:313-337 ((https://doi.org/10.1093/mmy/myv008))	sh_general_release_dynamic_s_10.05.2021	Thu Jul  8 14:28:58 2021
ITSall_OTUa_3003	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Cystofilobasidiaceae	Cystofilobasidium	Cystofilobasidium_macerans	1	1	Cystofilobasidium_macerans	AF444329	SH1650089.08FU	refs	0.995708154506438	1	Saprotroph	Leaf Saprotroph	Possible	Yeast	NULL	NULL	Oberwinkler F, et al. 1983. Systematic and Applied Microbiology 41:14-122 ((https://doi.org/10.1016/S0723-2020((83))80039-3))	sh_general_release_dynamic_s_10.05.2021	Thu Jul  8 14:28:58 2021
ITSall_OTUa_37	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Trichoderma	Trichoderma_spirale	3	0.6	Trichoderma_longipilis	FJ860770	SH1958335.08FU	refs	1	1	Pathotroph-Saprotroph-Symbiotroph	Animal Pathogen-Endophyte-Epiphyte-Fungal Parasite-Plant Pathogen-Wood Saprotroph	Probable	Microfungus	Soft Rot	Cause of soft-rot (Seehann et al. 1975); Likely opportunistic human pathogen (Irinyi et al. 2015); Endophyte detection method-culture (Busby et al. 2016)	Seehann G, et al. 1975. List of Fungi in Soft-Rot Tissue Tests. Institute fur Holzbiologie und Holzschutz, Bundesforschungsanstalt fur Forst - und Holzwirtshaft, Hamburg - Lohbrugge, Germany; Andrews JH, et al. 1983. Phytopathology 73228-234; Hanada RE, et al. 2010. Fungal Biology 114:901-910 ((https://doi.org/10.1016/j.funbio.2010.08.006)); Costa IPMW, et al. 2012. Mycotaxon 119:e26 ((http://mycotaxon.com/resources/checklists/costa_v119_checklist.pdf)); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)); Irinyi L, et al. 2015. Medical Mycology 53:313-337 ((https://doi.org/10.1093/mmy/myv008)); Busby PE, et al. 2016. New Phytologist 209:1681-1692 ((https://doi.org/10.1111/nph.13742)); The American Phytopathological Society Common Names of Plant Diseases ((http://www.apsnet.org/publications/commonnames/Pages/default.aspx))	sh_general_release_dynamic_s_10.05.2021	Thu Jul  8 14:28:58 2021
ITSall_OTUa_3712	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_fam_Incertae_sedis	Sarocladium	Sarocladium_subulatum	1	1	Sarocladium_subulatum	HG965031	SH1541926.08FU	refs	0.994318181818182	1	Saprotroph	Undefined Saprotroph	Probable	NULL	NULL	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))	sh_general_release_dynamic_s_10.05.2021	Thu Jul  8 14:28:58 2021
ITSall_OTUa_3717	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Leucoagaricus	Leucoagaricus_cinerascens	1	1	Leucoagaricus_cinerascens	AY176408	SH1503611.08FU	refs	1	1	Saprotroph	Undefined Saprotroph	Probable	Agaricoid	NULL	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))	sh_general_release_dynamic_s_10.05.2021	Thu Jul  8 14:28:58 2021
ITSall_OTUa_3777	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium_sarcochroum	6	1	Fusarium_sarcochroum	LT746257	SH1212157.08FU	reps_singleton	1	1	Pathotroph-Saprotroph-Symbiotroph	Animal Pathogen-Endophyte-Lichen Parasite-Plant Pathogen-Soil Saprotroph-Wood Saprotroph	Possible	Microfungus	NULL	Likely opportunistic human pathogen (Irinyi et al. 2015)	Duncan CG, Eslyn WE. 1966. Mycologia 58:642-664 ((https://doi.org/10.2307/3757045)); Seehann G, et al. 1975. List of Fungi in Soft-Rot Tissue Tests. Institute fur Holzbiologie und Holzschutz, Bundesforschungsanstalt fur Forst - und Holzwirtshaft, Hamburg - Lohbrugge, Germany; Costa IPMW, et al. 2012. Mycotaxon 119:e26 ((http://mycotaxon.com/resources/checklists/costa_v119_checklist.pdf)); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)); Irinyi L, et al. 2015. Medical Mycology 53:313-337 ((https://doi.org/10.1093/mmy/myv008)); Schroers, et al. 2016. Mycologia 108:806-819 ((https://doi.org/10.3852/15-255)); The American Phytopathological Society Common Names of Plant Diseases ((http://www.apsnet.org/publications/commonnames/Pages/default.aspx)); Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) ((http://www.lichenicolous.net))	sh_general_release_dynamic_s_10.05.2021	Thu Jul  8 14:28:58 2021
ITSall_OTUa_3958	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Teratosphaeriaceae	Devriesia	Devriesia_fraserae	1	1	Devriesia_fraserae	HQ599602	SH1715682.08FU	refs	1	1	Pathotroph	Plant Pathogen	Probable	NULL	NULL	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))	sh_general_release_dynamic_s_10.05.2021	Thu Jul  8 14:28:58 2021
ITSall_OTUa_3974	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Sporobolomyces	Sporobolomyces_roseus	1	1	Sporobolomyces_roseus	AY015438	SH1575126.08FU	refs	0.985436893203884	0.995145631067961	Pathotroph-Saprotroph	Fungal Parasite-Litter Saprotroph	Probable	Yeast	NULL	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)); Nagy LG, et al. 2014. Nature Communications 5:e4471 ((https://doi.org/10.1038/ncomms5471)); Purahong W, et al. 2016. Molecular Ecology 25:4059-4074 ((https://doi.org/10.1111/mec.13739))	sh_general_release_dynamic_s_10.05.2021	Thu Jul  8 14:28:58 2021
ITSall_OTUa_4174	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Xenoacremonium	Xenoacremonium_recifei	1	1	Xenoacremonium_recifei	KP131531	SH1561515.08FU	refs	0.987577639751553	1	Pathotroph-Saprotroph-Symbiotroph	Animal Pathogen-Endophyte-Fungal Parasite-Lichen Parasite-Plant Pathogen-Wood Saprotroph	Possible	Microfungus	NULL	Fusarium species are amongst the economically significant plant pathogens (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275); Hirooka Y, et al. 2012. Studies in Mycology 711-210 ((https://doi.org/10.3114/sim0001)); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)); The American Phytopathological Society Common Names of Plant Diseases ((http://www.apsnet.org/publications/commonnames/Pages/default.aspx)); https://www.cdc.gov ((https://www.cdc.gov))	sh_general_release_dynamic_s_10.05.2021	Thu Jul  8 14:28:58 2021
ITSall_OTUa_421	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Dioszegia	Dioszegia_zsoltii	2	1	Dioszegia_zsoltii_var._zsoltii	AF385445	SH2037713.08FU	refs	1	1	NA	NA	NA	NA	NA	NA	NA	sh_general_release_dynamic_s_10.05.2021	Thu Jul  8 14:28:58 2021
ITSall_OTUa_4235	Fungi	Basidiomycota	Ustilaginomycetes	Ustilaginales	Ustilaginaceae	Farysia	Farysia_setubalensis	1	1	Farysia_setubalensis	EU002888	SH1506616.08FU	refs	1	1	Pathotroph	Plant Pathogen	Probable	Facultative Yeast	NULL	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))	sh_general_release_dynamic_s_10.05.2021	Thu Jul  8 14:28:58 2021
ITSall_OTUa_4343	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Talaromyces	Talaromyces_albobiverticillius	1	1	Talaromyces_albobiverticillius	HQ605705	SH1516148.08FU	refs	1	1	Saprotroph	Undefined Saprotroph	Probable	NULL	NULL	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))	sh_general_release_dynamic_s_10.05.2021	Thu Jul  8 14:28:58 2021
ITSall_OTUa_4426	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Sporobolomyces	Sporobolomyces_koalae	1	1	Sporobolomyces_koalae	EU276008	SH1575133.08FU	refs	1	1	Pathotroph-Saprotroph	Fungal Parasite-Litter Saprotroph	Probable	Yeast	NULL	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)); Nagy LG, et al. 2014. Nature Communications 5:e4471 ((https://doi.org/10.1038/ncomms5471)); Purahong W, et al. 2016. Molecular Ecology 25:4059-4074 ((https://doi.org/10.1111/mec.13739))	sh_general_release_dynamic_s_10.05.2021	Thu Jul  8 14:28:58 2021
ITSall_OTUa_4528	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Steccherinaceae	Steccherinum	Steccherinum_ochraceum	1	1	Steccherinum_ochraceum	JN710595	SH1553186.08FU	reps	0.986111111111111	1	Pathotroph	Plant Pathogen	Probable	NULL	NULL	NULL	The American Phytopathological Society Common Names of Plant Diseases ((http://www.apsnet.org/publications/commonnames/Pages/default.aspx))	sh_general_release_dynamic_s_10.05.2021	Thu Jul  8 14:28:58 2021
ITSall_OTUa_4532	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Psathyrella	Psathyrella_rybergii	1	1	Psathyrella_rybergii	KC992893	SH1148473.08FU	refs_singleton	0.99462365591397806	1	Saprotroph	Wood Saprotroph	Probable	Agaricoid	NULL	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))	sh_general_release_dynamic_s_10.05.2021	Thu Jul  8 14:28:58 2021
ITSall_OTUa_5119	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Entolomataceae	Clitopilus	Clitopilus_hobsonii	1	1	Clitopilus_hobsonii	MN523234	SH2710395.08FU	reps	0.994845360824742	1	Saprotroph	Undefined Saprotroph	Probable	Agaricoid	NULL	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))	sh_general_release_dynamic_s_10.05.2021	Thu Jul  8 14:28:58 2021
ITSall_OTUa_5572	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_fam_Incertae_sedis	Sarocladium	Sarocladium_hominis	1	1	Sarocladium_sp	UDB0516438	SH1541945.08FU	reps	0.994082840236686	1	Saprotroph	Undefined Saprotroph	Probable	NULL	NULL	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))	sh_general_release_dynamic_s_10.05.2021	Thu Jul  8 14:28:58 2021
ITSall_OTUa_5620	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	Gymnopilus	Gymnopilus_dilepis	1	1	Gymnopilus_dilepis	KR824093	SH1244506.08FU	reps_singleton	0.995192307692308	1	Saprotroph	Wood Saprotroph	Probable	Agaricoid	White Rot	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))	sh_general_release_dynamic_s_10.05.2021	Thu Jul  8 14:28:58 2021
ITSall_OTUa_5826	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala	Exophiala_eucalypticola	1	1	Exophiala_eucalypticola	MH107891	SH1160325.08FU	refs_singleton	0.994444444444444	1	Pathotroph-Saprotroph	Animal Pathogen-Fungal Parasite-Undefined Saprotroph	Probable	Facultative Yeast-Microfungus	NULL	Mostly saprobic on plants or other fungi, isolated from soil etc., and from medical sources (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)	sh_general_release_dynamic_s_10.05.2021	Thu Jul  8 14:28:58 2021
ITSall_OTUa_5913	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium_viticola	5	1	Penicillium_viticola	AB606414	SH1699886.08FU	refs_singleton	1	1	NA	NA	NA	NA	NA	NA	NA	sh_general_release_dynamic_s_10.05.2021	Thu Jul  8 14:28:58 2021
ITSall_OTUa_6006	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Dothiorella	Dothiorella_acacicola	1	1	Dothiorella_acacicola	KX228269	SH1666196.08FU	refs_singleton	1	1	Pathotroph	Plant Pathogen	Probable	Microfungus	NULL	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))	sh_general_release_dynamic_s_10.05.2021	Thu Jul  8 14:28:58 2021
ITSall_OTUa_6181	Fungi	Entomophthoromycota	Entomophthoromycetes	Entomophthorales	Ancylistaceae	Conidiobolus	Conidiobolus_coronatus	1	1	Conidiobolus_coronatus	LN809072	SH1548452.08FU	reps	0.983164983164983	1	Pathotroph-Saprotroph	Animal Pathogen-Undefined Saprotroph	Probable	NULL	NULL	NULL	James TY, et al. 2006. Nature 443:818-822 ((https://doi.org/10.1038/nature05110))	sh_general_release_dynamic_s_10.05.2021	Thu Jul  8 14:28:58 2021
ITSall_OTUa_6204	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Cordycipitaceae	Simplicillium	Simplicillium_lanosoniveum	1	1	Simplicillium_lanosoniveum	AJ292395	SH1988383.08FU	refs	1	1	Pathotroph	Animal Pathogen	Probable	NULL	NULL	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))	sh_general_release_dynamic_s_10.05.2021	Thu Jul  8 14:28:58 2021
ITSall_OTUa_641	Fungi	Ascomycota	Sordariomycetes	Xylariales	Microdochiaceae	Microdochium	Microdochium_fisheri	1	1	Microdochium_fisheri	KP859015	SH1555462.08FU	refs	0.987654320987654	1	NA	NA	NA	NA	NA	NA	NA	sh_general_release_dynamic_s_10.05.2021	Thu Jul  8 14:28:58 2021
ITSall_OTUa_6955	Fungi	Basidiomycota	Cystobasidiomycetes	Cystobasidiomycetes_ord_Incertae_sedis	Microsporomycetaceae	Microsporomyces	Microsporomyces_bloemfonteinensis	1	1	Microsporomyces_bloemfonteinensis	JN882336	SH1559870.08FU	refs	1	1	NA	NA	NA	NA	NA	NA	NA	sh_general_release_dynamic_s_10.05.2021	Thu Jul  8 14:28:58 2021
ITSall_OTUa_7023	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Bipolaris	Bipolaris_cynodontis	1	1	Bipolaris_cynodontis	JX256412	SH1890301.08FU	refs	1	1	Pathotroph	Plant Pathogen	Probable	Microfungus	NULL	NULL	The American Phytopathological Society Common Names of Plant Diseases ((http://www.apsnet.org/publications/commonnames/Pages/default.aspx))	sh_general_release_dynamic_s_10.05.2021	Thu Jul  8 14:28:58 2021
ITSall_OTUa_7064	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Rhexocercosporidium	Rhexocercosporidium_panacis	1	1	Rhexocercosporidium_panacis	DQ249992	SH1710766.08FU	refs	0.986301369863014	1	Pathotroph	Plant Pathogen	Probable	NULL	NULL	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))	sh_general_release_dynamic_s_10.05.2021	Thu Jul  8 14:28:58 2021
ITSall_OTUa_7125	Fungi	Ascomycota	Sordariomycetes	Diaporthales	Pseudoplagiostomataceae	Pseudoplagiostoma	Pseudoplagiostoma_eucalypti	1	1	Pseudoplagiostoma_eucalypti	AB630954	SH1174180.08FU	reps_singleton	0.99390243902439	1	Pathotroph	Plant Pathogen	Probable	NULL	NULL	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))	sh_general_release_dynamic_s_10.05.2021	Thu Jul  8 14:28:58 2021
ITSall_OTUa_7237	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Monocillium	Monocillium_mucidum	1	1	Monocillium_mucidum	MG826989	SH1506682.08FU	refs	1	1	Saprotroph	Undefined Saprotroph	Probable	NULL	NULL	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))	sh_general_release_dynamic_s_10.05.2021	Thu Jul  8 14:28:58 2021
ITSall_OTUa_730	Fungi	Ascomycota	Sordariomycetes	Diaporthales	Diaporthaceae	Diaporthe	Diaporthe_sclerotioides	2	0.666666666666667	Diaporthe_columnaris	AF439625	SH1540609.08FU	refs	0.993548387096774	1	Pathotroph-Symbiotroph	Endophyte-Plant Pathogen	Possible	Microfungus	NULL	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))	sh_general_release_dynamic_s_10.05.2021	Thu Jul  8 14:28:58 2021
ITSall_OTUa_7595	Fungi	Ascomycota	Sordariomycetes	Microascales	Microascaceae	Pseudallescheria	Pseudallescheria_boydii	2	0.666666666666667	Pseudallescheria_boydii	HQ185338	SH2328456.08FU	refs	1	1	Pathotroph	Animal Pathogen	Probable	NULL	NULL	Opportunistic human pathogen	https://www.cdc.gov ((https://www.cdc.gov))	sh_general_release_dynamic_s_10.05.2021	Thu Jul  8 14:28:58 2021
ITSall_OTUa_8102	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Bolbitiaceae	Panaeolus	Panaeolus_cyanescens	1	1	Panaeolus_cyanescens	MK855518	SH1648517.08FU	reps	0.990566037735849	1	Saprotroph	Dung Saprotroph	Probable	Agaricoid	NULL	NULL	Grgurinovic CA, Simpson JA. 2001. Fungal Diversity 8:97-127 ((http://www.fungaldiversity.org/fdp/sfdp/FD_8_97-127.pdf))	sh_general_release_dynamic_s_10.05.2021	Thu Jul  8 14:28:58 2021
ITSall_OTUa_8352	Fungi	Ascomycota	Leotiomycetes	Thelebolales	Pseudeurotiaceae	Pseudeurotium	Pseudeurotium_bakeri	1	1	Pseudeurotium_bakeri	AY129287	SH2569355.08FU	refs	0.993150684931507	1	Saprotroph	Undefined Saprotroph	Probable	NULL	NULL	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))	sh_general_release_dynamic_s_10.05.2021	Thu Jul  8 14:28:58 2021
ITSall_OTUa_837	Fungi	Ascomycota	Sordariomycetes	Xylariales	Sporocadaceae	Immersidiscosia	Immersidiscosia_eucalypti	1	1	Immersidiscosia_eucalypti	UDB0547385	SH1552815.08FU	reps	1	1	Pathotroph	Plant Pathogen	Probable	NULL	NULL	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))	sh_general_release_dynamic_s_10.05.2021	Thu Jul  8 14:28:58 2021
ITSall_OTUa_8474	Fungi	Ascomycota	Pezizomycetes	Pezizales	Sarcosomataceae	Pseudoplectania	Pseudoplectania_affinis	1	1	Pseudoplectania_affinis	JX669826	SH1565709.08FU	refs	1	1	Saprotroph	Undefined Saprotroph	Probable	NULL	NULL	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))	sh_general_release_dynamic_s_10.05.2021	Thu Jul  8 14:28:58 2021
ITSall_OTUa_852	Fungi	Ascomycota	Sordariomycetes	Diaporthales	Valsaceae	Cytospora	Cytospora_variostromatica	1	1	Cytospora_variostromatica	AF260264	SH1540711.08FU	reps	0.987654320987654	1	Pathotroph-Saprotroph-Symbiotroph	Endophyte-Plant Pathogen-Wood Saprotroph	Probable	Microfungus	Soft Rot	NULL	Duncan CG, Eslyn WE. 1966. Mycologia 58:642-645 ((https://doi.org/10.2307/3757045)); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))	sh_general_release_dynamic_s_10.05.2021	Thu Jul  8 14:28:58 2021
ITSall_OTUa_9059	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Pleurotaceae	Hohenbuehelia	Hohenbuehelia_portegna	1	1	Hohenbuehelia_portegna	KY426798	SH1651217.08FU	refs	1	1	Saprotroph	Undefined Saprotroph	Probable	Agaricoid	White Rot	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))	sh_general_release_dynamic_s_10.05.2021	Thu Jul  8 14:28:58 2021
ITSall_OTUa_9841	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Nidulariaceae	Cyathus	Cyathus_stercoreus	1	1	Cyathus_stercoreus	EU784193	SH1563381.08FU	refs	1	1	Saprotroph	Undefined Saprotroph	Probable	Gasteroid	NULL	Common name - birds nest fungus	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))	sh_general_release_dynamic_s_10.05.2021	Thu Jul  8 14:28:58 2021
